Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
0,ADULT,1031,297,20 to 24 years,P5,Portola,September,2015,z,email,true,2004,false,3
3,SENIOR,1018,1625,65 to 74 years,P3,Parkside,May,2016,z,email,true,2003,false,4
0,ADULT,6,0,25 to 34 years,N4,Noe Valley/Sally Brunn,April,2014,z,email,true,2010,false,8
0,ADULT,127,112,25 to 34 years,O7,Ortega,April,2014,a,print,false,2004,false,9
0,ADULT,74,54,25 to 34 years,X,Main Library,July,2016,z,email,true,2013,false,
0,ADULT,349,301,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,March,2016,z,email,true,2003,false,8
3,SENIOR,660,2,65 to 74 years,R3,Richmond,July,2016,p,phone,false,2009,false,1
0,ADULT,89,24,35 to 44 years,M2,Marina,July,2015,z,email,true,2013,false,2
0,ADULT,1,0,45 to 54 years,X,Main Library,October,2015,z,email,true,2013,false,9
0,ADULT,1,2,35 to 44 years,X,Main Library,September,2013,z,email,true,2013,false,5
0,ADULT,2,0,35 to 44 years,P1,Park,October,2015,z,email,true,2012,false,8
0,ADULT,231,271,45 to 54 years,N4,Noe Valley/Sally Brunn,June,2016,z,email,true,2009,false,8
0,ADULT,22,20,25 to 34 years,A5,Anza,July,2016,z,email,true,2014,false,1
0,ADULT,0,0,45 to 54 years,X,Main Library,October,2013,z,email,true,2012,false,5
0,ADULT,357,16,60 to 64 years,P1,Park,February,2016,p,phone,false,2006,false,4
0,ADULT,40,19,35 to 44 years,B2,Bayview/Linda Brooks-Burton,November,2015,p,phone,false,2008,false,10
0,ADULT,7,1,35 to 44 years,X,Main Library,January,2007,z,email,true,2003,true,
0,ADULT,227,127,55 to 59 years,W2,West Portal,June,2016,z,email,true,2003,false,4
0,ADULT,486,272,35 to 44 years,O7,Ortega,March,2016,z,email,true,2003,false,4
0,ADULT,2,0,35 to 44 years,X,Main Library,January,2013,p,phone,false,2012,false,5
0,ADULT,3,4,35 to 44 years,X,Main Library,December,2013,z,email,true,2013,false,9
0,ADULT,26,10,25 to 34 years,X,Main Library,August,2013,z,email,true,2010,false,9
0,ADULT,72,3,20 to 24 years,B2,Bayview/Linda Brooks-Burton,November,2014,z,email,true,2003,false,10
0,ADULT,81,1,35 to 44 years,X,Main Library,February,2016,z,email,true,2012,true,
0,ADULT,80,20,60 to 64 years,I5,Ingleside,November,2014,p,phone,true,2006,true,
0,ADULT,1372,439,45 to 54 years,G4,Glen Park,July,2016,z,email,true,2003,false,11
0,ADULT,459,148,35 to 44 years,R3,Richmond,February,2016,z,email,true,2011,false,
0,ADULT,357,314,55 to 59 years,X,Main Library,June,2014,z,email,true,2010,false,8
0,ADULT,3,0,35 to 44 years,M4,Merced,July,2015,z,email,true,2012,true,
0,ADULT,47,9,55 to 59 years,M6,Mission,July,2015,p,phone,false,2005,false,11
0,ADULT,7,0,45 to 54 years,O7,Ortega,May,2015,z,email,true,2014,false,
0,ADULT,102,150,25 to 34 years,N4,Noe Valley/Sally Brunn,January,2016,z,email,true,2010,false,
4,WELCOME,3,8,25 to 34 years,X,Main Library,July,2015,z,email,true,2014,true,
0,ADULT,7,5,25 to 34 years,M6,Mission,July,2016,p,phone,true,2016,true,
0,ADULT,142,50,45 to 54 years,M4,Merced,January,2015,a,print,true,2006,false,7
0,ADULT,7,4,35 to 44 years,X,Main Library,October,2013,z,email,true,2012,true,
0,ADULT,4,8,35 to 44 years,N4,Noe Valley/Sally Brunn,August,2009,z,email,true,2008,false,8
0,ADULT,35,10,35 to 44 years,P1,Park,January,2014,z,email,true,2006,false,8
0,ADULT,54,5,25 to 34 years,M8,Mission Bay,April,2014,p,phone,false,2013,false,
0,ADULT,21,0,55 to 59 years,M2,Marina,December,2015,z,email,true,2009,false,2
0,ADULT,113,88,25 to 34 years,C2,Chinatown,April,2014,z,email,true,2005,false,11
0,ADULT,4,2,25 to 34 years,B4,Bernal Heights,July,2016,z,email,true,2008,true,
0,ADULT,79,12,25 to 34 years,W4,Western Addition,October,2015,z,email,true,2013,false,5
0,ADULT,34,5,35 to 44 years,O7,Ortega,June,2016,z,email,true,2003,false,4
0,ADULT,80,14,55 to 59 years,X,Main Library,August,2012,z,email,true,2006,false,6
0,ADULT,130,15,45 to 54 years,E9,Excelsior,December,2014,p,phone,false,2010,false,11
0,ADULT,56,24,45 to 54 years,M8,Mission Bay,August,2014,z,email,true,2010,true,
3,SENIOR,102,11,65 to 74 years,C2,Chinatown,July,2016,p,phone,false,2014,false,3
0,ADULT,41,3,45 to 54 years,A5,Anza,March,2014,a,print,false,2009,false,1
0,ADULT,4,5,25 to 34 years,X,Main Library,June,2015,z,email,true,2015,false,5
0,ADULT,82,110,35 to 44 years,W4,Western Addition,August,2014,z,email,true,2012,false,
4,WELCOME,4,0,45 to 54 years,X,Main Library,March,2015,p,phone,false,2013,false,9
0,ADULT,14,5,35 to 44 years,P9,Presidio,January,2015,z,email,true,2011,false,2
0,ADULT,2,4,20 to 24 years,X,Main Library,January,2014,z,email,true,2013,false,11
0,ADULT,14,0,45 to 54 years,M6,Mission,December,2013,p,phone,false,2003,false,
3,SENIOR,53,40,65 to 74 years,X,Main Library,October,2013,p,phone,false,2003,true,
0,ADULT,1754,882,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,6
4,WELCOME,1,1,45 to 54 years,M8,Mission Bay,February,2013,z,email,true,2013,true,
0,ADULT,57,25,45 to 54 years,X,Main Library,June,2013,z,email,true,2008,false,5
3,SENIOR,520,256,65 to 74 years,X,Main Library,September,2013,z,email,true,2003,false,8
0,ADULT,38,14,25 to 34 years,M6,Mission,May,2016,z,email,true,2010,false,8
0,ADULT,45,51,35 to 44 years,M8,Mission Bay,July,2016,z,email,true,2009,false,
0,ADULT,14,30,20 to 24 years,X,Main Library,October,2015,z,email,true,2015,false,3
0,ADULT,25,22,35 to 44 years,M2,Marina,June,2016,z,email,true,2008,false,1
0,ADULT,45,16,25 to 34 years,X,Main Library,November,2014,z,email,true,2009,false,6
0,ADULT,7,0,25 to 34 years,V3,Visitacion Valley,February,2016,z,email,true,2014,true,
0,ADULT,852,1553,60 to 64 years,C2,Chinatown,July,2016,p,phone,false,2003,true,
0,ADULT,295,176,45 to 54 years,B2,Bayview/Linda Brooks-Burton,June,2016,z,email,true,2003,false,10
0,ADULT,2,0,25 to 34 years,X,Main Library,October,2014,z,email,true,2014,false,4
4,WELCOME,1,0,25 to 34 years,M6,Mission,March,2014,z,email,true,2014,false,9
0,ADULT,18,6,55 to 59 years,X,Main Library,September,2011,z,email,true,2010,true,
0,ADULT,32,6,25 to 34 years,X,Main Library,August,2015,z,email,true,2011,true,
0,ADULT,9,0,35 to 44 years,E9,Excelsior,June,2010,z,email,true,2008,false,11
0,ADULT,1703,5,45 to 54 years,X,Main Library,March,2014,z,email,true,2009,false,3
0,ADULT,0,0,35 to 44 years,X,Main Library,June,2015,z,email,true,2013,true,
0,ADULT,2918,684,55 to 59 years,X,Main Library,May,2016,z,email,true,2003,false,3
3,SENIOR,45,104,65 to 74 years,W4,Western Addition,June,2016,z,email,true,2009,false,3
0,ADULT,134,29,55 to 59 years,P7,Potrero,July,2016,z,email,true,2003,true,
0,ADULT,125,54,45 to 54 years,P1,Park,September,2012,z,email,true,2003,false,5
0,ADULT,2,0,20 to 24 years,X,Main Library,March,2013,z,email,true,2013,false,4
0,ADULT,620,894,35 to 44 years,R3,Richmond,December,2015,z,email,true,2003,false,1
0,ADULT,6,0,25 to 34 years,M6,Mission,July,2013,z,email,true,2013,false,9
3,SENIOR,37,20,65 to 74 years,R3,Richmond,May,2015,a,print,true,2006,false,
0,ADULT,367,236,60 to 64 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,59,10,60 to 64 years,S7,Sunset,August,2013,z,email,true,2008,false,4
3,SENIOR,26,8,65 to 74 years,M2,Marina,July,2016,z,email,true,2008,false,2
0,ADULT,418,154,35 to 44 years,M8,Mission Bay,July,2016,z,email,true,2014,false,3
3,SENIOR,244,75,65 to 74 years,R3,Richmond,July,2015,z,email,true,2003,true,
0,ADULT,4,8,25 to 34 years,X,Main Library,July,2015,z,email,true,2012,false,3
0,ADULT,7,3,25 to 34 years,R3,Richmond,December,2012,z,email,true,2012,false,
0,ADULT,40,0,20 to 24 years,P3,Parkside,May,2013,z,email,true,2013,false,4
4,WELCOME,0,0,35 to 44 years,X,Main Library,None,None,p,phone,false,2014,false,6
0,ADULT,104,191,60 to 64 years,X,Main Library,March,2016,z,email,true,2008,true,
0,ADULT,48,28,35 to 44 years,X,Main Library,May,2016,z,email,true,2007,false,3
0,ADULT,43,5,20 to 24 years,X,Main Library,July,2016,z,email,true,2014,false,10
0,ADULT,23,6,35 to 44 years,X,Main Library,November,2010,z,email,true,2010,false,5
0,ADULT,1,3,25 to 34 years,P3,Parkside,April,2016,z,email,true,2016,true,
5,STAFF,1774,562,45 to 54 years,M6,Mission,June,2016,z,email,true,2003,false,9
0,ADULT,7,0,60 to 64 years,N4,Noe Valley/Sally Brunn,November,2015,z,email,true,2013,false,8
0,ADULT,54,110,55 to 59 years,X,Main Library,September,2010,z,email,true,2003,false,4
0,ADULT,138,167,25 to 34 years,N6,North Beach,August,2013,z,email,true,2006,false,3
0,ADULT,4,1,20 to 24 years,S7,Sunset,December,2015,z,email,true,2015,false,10
0,ADULT,1,0,25 to 34 years,M6,Mission,June,2013,z,email,true,2008,false,6
0,ADULT,22,2,20 to 24 years,X,Main Library,March,2014,z,email,true,2013,true,
0,ADULT,1,1,55 to 59 years,P5,Portola,January,2016,z,email,true,2015,false,9
3,SENIOR,0,0,65 to 74 years,P3,Parkside,None,None,z,email,true,2011,true,
3,SENIOR,0,0,65 to 74 years,P3,Parkside,None,None,z,email,true,2011,true,
0,ADULT,29,9,25 to 34 years,P1,Park,November,2015,z,email,true,2013,false,
0,ADULT,596,8,45 to 54 years,X,Main Library,October,2014,z,email,true,2008,false,5
0,ADULT,11,0,25 to 34 years,B2,Bayview/Linda Brooks-Burton,August,2013,z,email,true,2003,true,
0,ADULT,8,0,60 to 64 years,C2,Chinatown,December,2012,z,email,true,2012,false,3
0,ADULT,7,1,45 to 54 years,M6,Mission,July,2016,z,email,true,2015,false,8
0,ADULT,285,381,20 to 24 years,P5,Portola,July,2016,z,email,true,2009,false,10
0,ADULT,25,27,55 to 59 years,M2,Marina,May,2015,z,email,true,2004,false,
0,ADULT,20,4,20 to 24 years,M6,Mission,December,2015,z,email,true,2012,false,
0,ADULT,26,6,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,April,2014,z,email,true,2003,false,8
0,ADULT,83,23,45 to 54 years,P1,Park,August,2013,z,email,true,2012,false,5
0,ADULT,60,33,20 to 24 years,M6,Mission,April,2016,z,email,true,2014,false,
0,ADULT,59,0,35 to 44 years,O7,Ortega,October,2015,z,email,true,2009,false,1
0,ADULT,5,0,25 to 34 years,O2,Ocean View,December,2014,p,phone,false,2013,false,11
0,ADULT,373,46,45 to 54 years,W4,Western Addition,April,2016,z,email,true,2004,false,4
0,ADULT,32,35,20 to 24 years,M6,Mission,April,2016,p,phone,true,2012,false,5
0,ADULT,122,52,25 to 34 years,N6,North Beach,January,2015,z,email,true,2003,false,4
0,ADULT,125,72,35 to 44 years,P1,Park,February,2016,z,email,true,2003,false,5
3,SENIOR,37,6,65 to 74 years,X,Main Library,February,2014,p,phone,false,2003,false,8
0,ADULT,1,0,20 to 24 years,M8,Mission Bay,November,2015,z,email,true,2015,false,7
0,ADULT,454,396,55 to 59 years,P3,Parkside,February,2016,z,email,true,2003,false,3
4,WELCOME,1,3,20 to 24 years,W4,Western Addition,July,2015,z,email,true,2015,false,5
0,ADULT,1,0,55 to 59 years,X,Main Library,January,2015,z,email,true,2014,true,
0,ADULT,57,21,20 to 24 years,I5,Ingleside,June,2016,z,email,true,2003,false,11
0,ADULT,28,6,35 to 44 years,I5,Ingleside,July,2015,z,email,true,2015,true,
0,ADULT,104,10,35 to 44 years,C2,Chinatown,September,2015,z,email,true,2011,false,3
0,ADULT,712,323,35 to 44 years,G6,Golden Gate Valley,July,2016,z,email,true,2011,false,2
0,ADULT,8,7,25 to 34 years,M4,Merced,June,2016,z,email,true,2014,false,7
0,ADULT,66,5,35 to 44 years,M4,Merced,July,2016,z,email,true,2014,false,
0,ADULT,6,3,25 to 34 years,X,Main Library,June,2016,z,email,true,2015,true,
0,ADULT,6,3,25 to 34 years,X,Main Library,June,2016,z,email,true,2015,true,
0,ADULT,88,132,55 to 59 years,X,Main Library,December,2013,p,phone,false,2003,false,
0,ADULT,3,2,35 to 44 years,R3,Richmond,May,2016,p,phone,false,2013,false,
0,ADULT,56,43,35 to 44 years,B4,Bernal Heights,February,2016,z,email,true,2011,false,9
3,SENIOR,146,46,65 to 74 years,C2,Chinatown,November,2015,a,print,false,2008,false,9
0,ADULT,238,32,60 to 64 years,O2,Ocean View,July,2016,z,email,true,2010,false,11
0,ADULT,53,35,45 to 54 years,M6,Mission,March,2010,z,email,true,2003,false,
0,ADULT,8,3,35 to 44 years,R3,Richmond,March,2015,z,email,true,2013,true,
0,ADULT,113,32,25 to 34 years,B2,Bayview/Linda Brooks-Burton,November,2014,z,email,true,2008,true,
15,TEACHER CARD,83,5,25 to 34 years,E9,Excelsior,July,2016,z,email,true,2015,false,11
3,SENIOR,19,11,65 to 74 years,R3,Richmond,January,2007,z,email,true,2003,false,2
0,ADULT,5,0,35 to 44 years,X,Main Library,July,2012,z,email,true,2003,false,8
0,ADULT,200,183,25 to 34 years,X,Main Library,August,2014,z,email,true,2011,false,6
0,ADULT,2,6,25 to 34 years,X,Main Library,September,2015,z,email,true,2015,false,3
0,ADULT,27,0,35 to 44 years,A5,Anza,May,2016,z,email,true,2014,false,1
0,ADULT,119,47,35 to 44 years,S7,Sunset,August,2013,z,email,true,2003,false,
0,ADULT,6,1,35 to 44 years,M6,Mission,May,2016,z,email,true,2016,false,9
0,ADULT,3,0,25 to 34 years,M4,Merced,April,2014,z,email,true,2014,true,
3,SENIOR,489,48,65 to 74 years,X,Main Library,July,2016,z,email,true,2009,false,
0,ADULT,29,1,45 to 54 years,R3,Richmond,June,2012,z,email,true,2009,false,1
0,ADULT,1071,493,55 to 59 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,8
3,SENIOR,12,0,65 to 74 years,B2,Bayview/Linda Brooks-Burton,September,2015,z,email,true,2013,false,10
15,TEACHER CARD,30,0,25 to 34 years,M4,Merced,February,2016,z,email,true,2016,false,11
3,SENIOR,860,432,65 to 74 years,C2,Chinatown,April,2016,z,email,true,2003,false,3
0,ADULT,45,11,45 to 54 years,M8,Mission Bay,May,2016,z,email,true,2016,false,
0,ADULT,5,0,35 to 44 years,P3,Parkside,September,2013,z,email,true,2013,false,7
0,ADULT,11,0,25 to 34 years,X,Main Library,April,2014,a,print,false,2010,false,10
0,ADULT,96,6,60 to 64 years,O7,Ortega,February,2014,p,phone,false,2003,false,4
0,ADULT,256,117,45 to 54 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
3,SENIOR,807,0,65 to 74 years,W4,Western Addition,January,2015,z,email,true,2003,false,
0,ADULT,12,0,25 to 34 years,N6,North Beach,September,2015,z,email,true,2015,false,3
0,ADULT,35,5,25 to 34 years,X,Main Library,October,2015,z,email,true,2012,false,10
4,WELCOME,0,0,20 to 24 years,B2,Bayview/Linda Brooks-Burton,None,None,z,email,true,2013,false,10
4,WELCOME,0,0,20 to 24 years,B2,Bayview/Linda Brooks-Burton,None,None,z,email,true,2013,false,10
0,ADULT,7,1,25 to 34 years,B2,Bayview/Linda Brooks-Burton,July,2016,z,email,true,2006,false,
0,ADULT,120,7,25 to 34 years,X,Main Library,May,2014,z,email,true,2005,false,5
3,SENIOR,4,1,65 to 74 years,P5,Portola,May,2014,z,email,true,2011,false,9
0,ADULT,166,104,20 to 24 years,P5,Portola,September,2015,z,email,true,2003,false,11
0,ADULT,40,0,25 to 34 years,X,Main Library,January,2015,z,email,true,2014,false,6
0,ADULT,5,0,25 to 34 years,M6,Mission,April,2016,z,email,true,2010,false,9
0,ADULT,189,206,45 to 54 years,I5,Ingleside,March,2013,z,email,true,2004,false,7
0,ADULT,2,3,35 to 44 years,P9,Presidio,June,2013,z,email,true,2013,true,
3,SENIOR,22,34,65 to 74 years,M8,Mission Bay,May,2015,z,email,true,2013,false,3
0,ADULT,23,0,45 to 54 years,X,Main Library,February,2016,z,email,true,2009,false,
0,ADULT,12,0,35 to 44 years,P5,Portola,May,2015,z,email,true,2015,false,10
0,ADULT,16,0,20 to 24 years,YB,Unknown,May,2015,z,email,true,2014,false,
15,TEACHER CARD,19,0,25 to 34 years,B4,Bernal Heights,June,2015,z,email,true,2015,false,8
0,ADULT,9,1,20 to 24 years,P7,Potrero,August,2015,p,phone,false,2003,false,10
0,ADULT,0,0,20 to 24 years,W4,Western Addition,None,None,z,email,true,2014,false,3
0,ADULT,0,0,20 to 24 years,W4,Western Addition,None,None,z,email,true,2014,false,3
0,ADULT,62,36,45 to 54 years,C2,Chinatown,September,2013,p,phone,false,2003,false,10
3,SENIOR,24,19,65 to 74 years,X,Main Library,April,2015,z,email,true,2004,true,
0,ADULT,44,39,45 to 54 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,518,97,35 to 44 years,M6,Mission,July,2016,z,email,true,2009,false,8
0,ADULT,108,167,35 to 44 years,M6,Mission,July,2016,z,email,true,2003,false,10
0,ADULT,7,0,55 to 59 years,X,Main Library,July,2015,p,phone,false,2015,false,6
0,ADULT,9,4,25 to 34 years,O7,Ortega,February,2013,a,print,false,2012,false,4
0,ADULT,0,0,55 to 59 years,P3,Parkside,None,None,z,email,true,2015,false,4
0,ADULT,0,0,55 to 59 years,P3,Parkside,None,None,z,email,true,2015,false,4
0,ADULT,0,0,55 to 59 years,P3,Parkside,None,None,z,email,true,2015,false,4
0,ADULT,0,0,55 to 59 years,P3,Parkside,None,None,z,email,true,2015,false,4
0,ADULT,0,0,55 to 59 years,P3,Parkside,None,None,z,email,true,2015,false,4
0,ADULT,0,0,55 to 59 years,P3,Parkside,None,None,z,email,true,2015,false,4
0,ADULT,555,0,35 to 44 years,W4,Western Addition,June,2016,a,print,false,2003,false,5
3,SENIOR,6,0,65 to 74 years,X,Main Library,November,2014,a,print,false,2011,false,6
0,ADULT,353,209,20 to 24 years,M6,Mission,May,2016,z,email,true,2008,false,9
0,ADULT,598,217,60 to 64 years,P1,Park,July,2016,z,email,true,2003,false,8
0,ADULT,0,0,25 to 34 years,E9,Excelsior,None,None,z,email,true,2016,false,4
0,ADULT,232,36,35 to 44 years,X,Main Library,July,2016,z,email,true,2008,false,3
0,ADULT,110,6,45 to 54 years,V3,Visitacion Valley,October,2014,p,phone,false,2003,false,10
0,ADULT,43,53,25 to 34 years,O7,Ortega,May,2016,z,email,true,2015,false,4
0,ADULT,436,133,60 to 64 years,E7,Eureka Valley/Harvey Milk Memorial,June,2016,p,phone,false,2006,false,8
0,ADULT,0,0,55 to 59 years,X,Main Library,None,None,p,phone,false,2009,true,
0,ADULT,190,241,25 to 34 years,C2,Chinatown,July,2016,z,email,true,2005,false,3
0,ADULT,134,56,55 to 59 years,G4,Glen Park,June,2016,z,email,true,2003,false,8
0,ADULT,613,852,25 to 34 years,G4,Glen Park,July,2016,z,email,true,2003,false,
0,ADULT,2,1,25 to 34 years,P1,Park,July,2016,z,email,true,2016,false,5
0,ADULT,2,1,25 to 34 years,P1,Park,July,2016,z,email,true,2016,false,5
0,ADULT,146,9,45 to 54 years,V3,Visitacion Valley,April,2012,p,phone,false,2006,false,10
0,ADULT,6,14,35 to 44 years,X,Main Library,January,2014,z,email,true,2013,false,5
4,WELCOME,1,3,45 to 54 years,X,Main Library,August,2013,z,email,true,2013,true,
0,ADULT,4,10,25 to 34 years,X,Main Library,July,2013,z,email,true,2009,true,
0,ADULT,26,28,20 to 24 years,N6,North Beach,January,2014,z,email,true,2009,true,
0,ADULT,3,0,45 to 54 years,X,Main Library,March,2014,z,email,true,2014,true,
0,ADULT,352,190,25 to 34 years,P5,Portola,January,2013,z,email,true,2003,false,10
0,ADULT,254,266,45 to 54 years,X,Main Library,June,2015,z,email,true,2003,true,
0,ADULT,1,2,55 to 59 years,S7,Sunset,August,2015,z,email,true,2010,true,
0,ADULT,20,29,35 to 44 years,R3,Richmond,July,2016,z,email,true,2015,false,1
0,ADULT,4,0,60 to 64 years,E9,Excelsior,September,2013,p,phone,false,2013,false,11
0,ADULT,25,9,20 to 24 years,X,Main Library,July,2014,z,email,true,2014,false,6
0,ADULT,511,232,55 to 59 years,X,Main Library,June,2016,z,email,true,2003,false,
0,ADULT,7,0,25 to 34 years,R3,Richmond,April,2016,z,email,true,2015,false,
0,ADULT,30,5,20 to 24 years,X,Main Library,July,2016,z,email,true,2013,false,1
0,ADULT,11,13,25 to 34 years,N6,North Beach,April,2014,z,email,true,2009,false,2
0,ADULT,27,53,60 to 64 years,X,Main Library,July,2016,p,phone,false,2012,false,1
3,SENIOR,484,1,65 to 74 years,G6,Golden Gate Valley,December,2015,z,email,true,2003,false,2
0,ADULT,25,1,25 to 34 years,B2,Bayview/Linda Brooks-Burton,April,2015,p,phone,false,2013,false,10
0,ADULT,0,0,45 to 54 years,X,Main Library,April,2014,z,email,true,2014,false,6
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2015,false,11
0,ADULT,208,1,20 to 24 years,O7,Ortega,February,2014,z,email,true,2003,false,4
0,ADULT,90,90,35 to 44 years,B4,Bernal Heights,July,2016,z,email,true,2003,false,
0,ADULT,305,1,45 to 54 years,S7,Sunset,July,2015,z,email,true,2003,false,5
0,ADULT,963,391,45 to 54 years,X,Main Library,July,2014,z,email,true,2003,true,
0,ADULT,633,570,45 to 54 years,B4,Bernal Heights,July,2016,z,email,true,2003,false,9
0,ADULT,10,0,55 to 59 years,X,Main Library,May,2016,p,phone,false,2008,true,
